ID;code;name;continent
860086a1-7589-4091-af1c-6995b0add547;GRL;Greenland;North America
827e9f60-2bb0-4d85-b74a-7268c122eef3;GRD;Grenada;North America
24e10ff5-e6b8-4323-b487-3b2147ed6771;GLP;Guadeloupe;North America
475a40dc-80b1-499b-b0c3-ac6e89719c22;GUM;Guam;Oceania
57b90153-736e-4d84-8729-a388ad592edc;GTM;Guatemala;North America
4d9ae4fc-d582-4f1d-999d-662d74577a49;GGY;Guernsey;Europe
fcc2003a-4442-4022-ab68-57c2761545db;GIN;Guinea;Africa
8f0ab980-3f3c-44c3-9d52-c1ca44741dcc;GNB;Guinea-Bissau;Africa
8f6dd9d3-880c-4a27-bd11-99dec6279a24;GUY;Guyana;South America
e5c43015-8d36-4317-a925-b2e3706a17cd;HTI;Haiti;North America
b8fb4ac6-59a4-49fa-a907-ba7919e1ff36;HND;Honduras;North America
0f1ab62d-3ebc-40a8-a7ea-0d7ca7bcf869;HKG;Hong Kong;Asia
6f7fc024-315e-4d9d-a87c-89c6fe73eb19;HUN;Hungary;Europe
d170f943-bc90-4f6b-8902-4ddac72661dd;ISL;Iceland;Europe
f0e4c1fb-13ad-495b-bb36-d2a99628a34b;IND;India;Asia
b4c96b23-c092-46a9-a4c9-9ff12548d732;IDN;Indonesia;Asia
2f146dcb-0a13-4fbb-99e9-9254acdcb8a6;IRN;Iran;Asia
77711c1c-8fb0-4d8a-a8eb-87cf7ea3f9b1;IRQ;Iraq;Asia
184155ca-106e-4623-8997-6fef7d4a73e4;IRL;Ireland;Europe
5abb763a-f414-4014-ac99-e2fcaf823a17;IMN;Isle of Man;Europe
89e83092-8fbf-46ee-b30a-4f08808485e0;ISR;Israel;Asia
14fd276f-eaeb-4a0e-9adc-9cfdf0c1924a;ITA;Italy;Europe
4719e50e-0d1f-4394-a6d5-0d0bd8c6b042;CIV;Ivory Coast;Africa
4356feef-df01-409c-b9b4-08af6ed42e07;JAM;Jamaica;North America
af24258b-746b-42a1-a243-59811d85a231;JPN;Japan;Asia
8b40c7c2-dead-4a42-9e9f-b6773095d86d;JEY;Jersey;Europe
5fe8feac-a3f4-497e-ba93-4d2a28fa03a3;JOR;Jordan;Asia
c0588d82-3ed4-4335-9f6f-67954ae2bd35;KAZ;Kazakhstan;Asia
7ddd39c4-3638-4a03-9be4-c80ce7b32d3a;KEN;Kenya;Africa
15c18390-ea05-40d7-93c0-835527d83425;KIR;Kiribati;Oceania
5eeed281-b40c-4997-8293-52c0fb9c85e0;KWT;Kuwait;Asia
99cd83c7-d1a8-445a-83b8-838c418e4f1b;KGZ;Kyrgyzstan;Asia
a316a920-ffb8-4c17-b124-a2e3996b5564;LAO;Laos;Asia
12a5ec96-2987-42bf-b413-46e99c92c791;LVA;Latvia;Europe
cff38c8f-aeba-4c9d-abd8-2fa5d911964b;LBN;Lebanon;Asia
b24b7656-878d-4137-8c18-45c239d45a82;LSO;Lesotho;Africa
7e7910df-3bd2-4d70-8d6f-0c0b60bb17f7;LBR;Liberia;Africa
996b07f5-4180-4033-84c2-0fe3fa5e10db;LBY;Libya;Africa
237611c3-dfc2-4828-b43a-22e67914905b;LIE;Liechtenstein;Europe
84311549-ce7e-4222-94a6-1a40c970af98;LTU;Lithuania;Europe
63f9b1dd-e74c-4a53-a7b3-7d3a9bdce230;LUX;Luxembourg;Europe
3c4a95bd-450a-456a-ad55-451941669543;MAC;Macau;Asia
ca4495f0-345e-4f45-8349-fb91457b13fa;MDG;Madagascar;Africa
ce5bc5dd-0c48-4c7e-b48f-a18437f164d4;MWI;Malawi;Africa
5ea0ca30-17b3-4867-8bec-4858e0689ed4;MYS;Malaysia;Asia
5bebcd2b-e29d-4265-b8db-f742cdb554f1;MDV;Maldives;Asia
1418eb92-b2d5-4004-901e-9c8cb8ddd834;MLI;Mali;Africa
